iter	Logloss
0	0.5627916068
1	0.4970144414
2	0.4550776212
3	0.431272719
4	0.4251458345
5	0.4186916946
6	0.4099674475
7	0.4025669852
8	0.3950496884
9	0.3919070865
10	0.3876199601
11	0.379386974
12	0.3762103157
13	0.3722264755
14	0.3689777313
15	0.3625242105
16	0.3592379245
17	0.3566253346
18	0.3543040566
19	0.353754176
20	0.3500778723
21	0.3488217654
22	0.3477745771
23	0.3457958148
24	0.3447360996
25	0.3435820624
26	0.341268917
27	0.3407865245
28	0.3402039443
29	0.3356248717
30	0.335029236
31	0.3344518803
32	0.333801495
33	0.3320350208
34	0.3312274644
35	0.330731109
36	0.3293193381
37	0.3277305887
38	0.3234059174
39	0.3198209877
40	0.3190032598
41	0.3182504095
42	0.3170086534
43	0.3153943281
44	0.3141469454
45	0.3094334123
46	0.3074127833
47	0.3068297694
48	0.3025480612
49	0.3004567914
50	0.2999281206
51	0.298400446
52	0.2945287381
53	0.2934052272
54	0.2922798998
55	0.2914920143
56	0.2886971088
57	0.287208824
58	0.2840954313
59	0.2832846832
60	0.282981972
61	0.2805613571
62	0.2792195668
63	0.2771384829
64	0.2759943276
65	0.2741889378
66	0.2737656389
67	0.272088256
68	0.2709718595
69	0.2705928916
70	0.2696098971
71	0.2685859017
72	0.2677724651
73	0.2664671938
74	0.2660312459
75	0.2637598649
76	0.2622702981
77	0.2616790239
78	0.2614488617
79	0.2605249756
80	0.2596063298
81	0.2584644225
82	0.257941364
83	0.2571905152
84	0.256871618
85	0.2558052689
86	0.2551046382
87	0.2526443792
88	0.2523205687
89	0.251969655
90	0.2515799204
91	0.2500959466
92	0.2498815345
93	0.2491611499
94	0.2487712389
95	0.247684618
96	0.2473949165
97	0.2463719588
98	0.2460934645
99	0.2459265237
