iter	Passed	Remaining
0	141	13964
1	148	7271
2	152	4939
3	157	3781
4	160	3053
5	165	2591
6	170	2264
7	174	2009
8	179	1810
9	181	1633
10	186	1508
11	190	1393
12	193	1292
13	196	1206
14	198	1127
15	201	1055
16	203	991
17	204	933
18	206	881
19	208	833
20	209	789
21	211	749
22	212	713
23	214	679
24	215	647
25	217	618
26	218	590
27	219	564
28	221	541
29	222	518
30	223	497
31	224	477
32	225	458
33	227	441
34	228	424
35	230	409
36	231	394
37	232	379
38	234	366
39	235	353
40	236	340
41	237	328
42	238	316
43	240	305
44	241	295
45	242	284
46	244	275
47	245	265
48	246	256
49	247	247
50	249	239
51	250	231
52	252	223
53	253	215
54	254	208
55	255	201
56	257	194
57	258	187
58	260	180
59	261	174
60	262	167
61	263	161
62	264	155
63	266	149
64	267	144
65	268	138
66	269	132
67	270	127
68	272	122
69	273	117
70	274	112
71	275	107
72	276	102
73	277	97
74	278	92
75	280	88
76	281	84
77	283	79
78	284	75
79	285	71
80	286	67
81	287	63
82	288	59
83	289	55
84	291	51
85	292	47
86	293	43
87	294	40
88	298	36
89	299	33
90	300	29
91	301	26
92	303	22
93	304	19
94	305	16
95	306	12
96	307	9
97	308	6
98	310	3
99	311	0
